c,h,l,n,o,t,v,vw
4.53,4.53,4.53,0,4.53,2016-04-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-04-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-04-29T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-02T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-04T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-05T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-06T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-09T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-10T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-11T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-16T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-18T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-23T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-25T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-05-31T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-02T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-06T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-07T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-08T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-09T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-10T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-14T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-15T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-16T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-21T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-22T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-23T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-29T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-06-30T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-05T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-06T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-07T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-08T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-11T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-14T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-15T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-18T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-21T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-22T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-25T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-07-29T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-02T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-04T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-05T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-08T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-09T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-10T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-11T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-15T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-16T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-18T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-22T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-23T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-25T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-29T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-30T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-08-31T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-02T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-06T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-07T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-08T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-09T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-14T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-15T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-16T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-21T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-22T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-23T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-29T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-09-30T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-04T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-05T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-06T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-07T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-10T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-11T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-14T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-18T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-21T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-25T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-10-31T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-02T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-04T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-07T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-08T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-09T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-10T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-11T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-14T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-15T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-16T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-17T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-18T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-21T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-22T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-23T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-25T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-28T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-29T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-11-30T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-01T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-02T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-05T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-06T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-07T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-08T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-09T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-12T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-13T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-14T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-15T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-16T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-19T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-20T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-21T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-22T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-23T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-27T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-28T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-29T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2016-12-30T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-03T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-04T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-05T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-06T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-09T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-10T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-11T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-12T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-13T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-17T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-18T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-19T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-20T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-23T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-24T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-25T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-26T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-27T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-30T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-01-31T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-01T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-02T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-03T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-06T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-07T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-08T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-09T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-10T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-13T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-14T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-15T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-16T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-17T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-21T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-22T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-23T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-24T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-27T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-02-28T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-01T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-02T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-03T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-06T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-07T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-08T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-09T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-10T05:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-14T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-15T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-16T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-21T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-22T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-23T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-29T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-30T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-03-31T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-04T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-05T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-06T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-07T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-10T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-11T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-13T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-18T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-20T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-21T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-25T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-27T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-04-28T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-02T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-03T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-04T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-05T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-08T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-09T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-10T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-11T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-12T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-15T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-16T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-17T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-18T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-19T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-22T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-23T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-24T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-25T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-26T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-30T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-05-31T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-06-01T04:00:00Z,0,0.0
4.53,4.53,4.53,0,4.53,2017-06-02T04:00:00Z,0,0.0
