c,h,l,n,o,t,v,vw
81.3,131.7,75.75,26948,108.45,2022-01-14T05:00:00Z,323481,95.73
75.45,85.5,75.0,5647,82.2,2022-01-18T05:00:00Z,76415,78.55
63.3,72.0,61.5,3407,71.1,2022-01-19T05:00:00Z,34317,64.44
72.3,79.5,54.6,11982,60.0,2022-01-20T05:00:00Z,228718,69.12
64.5,68.85,58.8,3008,64.8,2022-01-21T05:00:00Z,35745,62.26
60.6,62.55,52.8,1263,58.5,2022-01-24T05:00:00Z,14981,57.62
54.9,61.35,54.9,1013,61.35,2022-01-25T05:00:00Z,11258,57.06
57.75,60.7,55.5,691,55.5,2022-01-26T05:00:00Z,9269,58.22
53.85,58.95,52.95,782,58.95,2022-01-27T05:00:00Z,8122,56.08
58.35,58.35,52.5,525,54.0,2022-01-28T05:00:00Z,5913,56.12
63.15,63.9,58.07,751,60.0,2022-01-31T05:00:00Z,9279,60.83
64.2,67.05,61.5,863,61.65,2022-02-01T05:00:00Z,7820,64.22
61.8,67.05,60.85,364,67.05,2022-02-02T05:00:00Z,2618,63.56
56.7,60.11,55.65,435,57.15,2022-02-03T05:00:00Z,3635,57.31
58.5,63.15,55.65,860,59.25,2022-02-04T05:00:00Z,8821,60.4
58.5,59.4,55.65,403,59.4,2022-02-07T05:00:00Z,3266,57.64
58.95,59.85,55.95,442,57.15,2022-02-08T05:00:00Z,3694,57.4
54.3,58.5,51.15,991,58.5,2022-02-09T05:00:00Z,8588,54.94
53.25,55.5,52.5,574,52.65,2022-02-10T05:00:00Z,4262,53.75
52.05,54.45,51.0,511,54.15,2022-02-11T05:00:00Z,6735,52.05
49.2,53.25,47.25,779,53.25,2022-02-14T05:00:00Z,4322,49.44
51.9,53.25,48.45,500,50.25,2022-02-15T05:00:00Z,4159,50.28
48.75,51.9,48.0,559,51.9,2022-02-16T05:00:00Z,5881,49.38
44.85,50.85,44.25,652,48.6,2022-02-17T05:00:00Z,5840,47.47
48.0,48.9,42.0,877,44.86,2022-02-18T05:00:00Z,6881,44.74
42.9,48.3,39.15,525,48.0,2022-02-22T05:00:00Z,3592,43.48
42.45,42.75,41.25,332,42.75,2022-02-23T05:00:00Z,2327,42.12
50.55,54.0,40.65,1729,43.5,2022-02-24T05:00:00Z,30648,49.03
56.85,67.05,51.6,24838,58.35,2022-02-25T05:00:00Z,360583,58.26
55.95,57.3,51.9,2735,57.0,2022-02-28T05:00:00Z,32533,54.66
59.55,60.0,54.0,1809,57.75,2022-03-01T05:00:00Z,29962,57.53
73.65,77.24,58.05,5612,60.0,2022-03-02T05:00:00Z,103165,67.53
91.5,100.2,78.45,52591,82.35,2022-03-03T05:00:00Z,882499,89.04
67.95,86.55,63.6,11257,85.95,2022-03-04T05:00:00Z,152838,71.31
67.5,73.8,62.1,7567,63.3,2022-03-07T05:00:00Z,99284,67.96
77.55,85.04,60.75,10144,63.6,2022-03-08T05:00:00Z,187435,74.37
73.8,76.05,69.0,3786,70.5,2022-03-09T05:00:00Z,63074,72.7
79.35,86.24,70.2,4385,72.15,2022-03-10T05:00:00Z,47306,80.12
85.5,88.65,77.73,3201,79.05,2022-03-11T05:00:00Z,29996,84.03
65.7,86.7,64.5,4342,86.7,2022-03-14T04:00:00Z,61680,73.56
77.85,79.5,64.5,3439,64.5,2022-03-15T04:00:00Z,24327,73.85
77.7,91.5,70.95,4401,75.75,2022-03-16T04:00:00Z,44518,80.0
83.25,86.46,72.3,4082,76.95,2022-03-17T04:00:00Z,42863,77.87
89.85,99.0,75.6,5506,82.05,2022-03-18T04:00:00Z,313246,89.35
113.4,113.55,86.25,8436,90.0,2022-03-21T04:00:00Z,125390,103.39
121.5,126.75,97.05,10255,109.8,2022-03-22T04:00:00Z,126377,112.55
132.75,161.7,113.55,34269,118.5,2022-03-23T04:00:00Z,499322,145.82
124.65,132.0,106.05,8577,131.25,2022-03-24T04:00:00Z,76318,117.46
102.3,120.15,99.9,4661,117.0,2022-03-25T04:00:00Z,32356,107.24
98.7,109.95,93.9,6660,102.3,2022-03-28T04:00:00Z,75514,102.69
88.65,101.1,87.0,4091,98.1,2022-03-29T04:00:00Z,43625,93.23
83.7,93.0,82.73,4208,87.75,2022-03-30T04:00:00Z,44906,89.43
79.8,91.2,79.8,3250,83.7,2022-03-31T04:00:00Z,27073,85.39
88.35,90.45,78.75,5999,78.75,2022-04-01T04:00:00Z,78543,86.82
93.15,98.25,85.74,2993,86.4,2022-04-04T04:00:00Z,24737,91.57
92.85,96.0,89.98,1058,93.15,2022-04-05T04:00:00Z,10654,92.57
99.0,99.0,90.15,2685,91.95,2022-04-06T04:00:00Z,29142,95.51
100.8,102.45,93.45,3401,96.0,2022-04-07T04:00:00Z,32697,98.76
98.1,105.0,95.55,3433,99.75,2022-04-08T04:00:00Z,51234,100.76
79.88,97.8,79.5,3455,95.25,2022-04-11T04:00:00Z,25483,86.01
75.45,84.45,75.15,2568,79.8,2022-04-12T04:00:00Z,10984,79.77
79.35,84.6,74.55,2333,74.85,2022-04-13T04:00:00Z,20208,80.31
67.65,84.0,67.5,2127,78.0,2022-04-14T04:00:00Z,15294,72.71
67.65,71.7,66.45,2598,69.6,2022-04-18T04:00:00Z,34094,68.91
58.5,67.5,56.7,4714,66.3,2022-04-19T04:00:00Z,70432,61.54
57.15,61.35,56.4,2060,58.35,2022-04-20T04:00:00Z,26798,58.81
52.95,57.45,46.65,3413,55.95,2022-04-21T04:00:00Z,37130,50.45
46.95,53.1,46.2,2509,52.05,2022-04-22T04:00:00Z,29479,48.27
46.65,49.95,45.15,2201,45.9,2022-04-25T04:00:00Z,24498,47.56
46.2,49.65,45.15,2253,45.9,2022-04-26T04:00:00Z,19479,46.7
51.3,52.65,45.9,1836,46.2,2022-04-27T04:00:00Z,16077,49.63
57.9,58.88,48.0,1513,49.8,2022-04-28T04:00:00Z,12813,54.15
63.3,63.75,56.88,1698,58.2,2022-04-29T04:00:00Z,17164,61.4
76.8,77.85,62.4,3998,63.75,2022-05-02T04:00:00Z,31042,72.91
70.5,78.87,68.4,2961,74.25,2022-05-03T04:00:00Z,21479,72.41
75.6,77.49,65.25,2742,70.5,2022-05-04T04:00:00Z,14781,73.68
72.45,76.2,67.35,1265,76.2,2022-05-05T04:00:00Z,9835,71.32
64.5,72.3,63.6,1621,69.45,2022-05-06T04:00:00Z,5959,67.26
62.4,64.2,57.0,1675,62.7,2022-05-09T04:00:00Z,7178,61.58
67.5,68.85,59.1,1528,63.3,2022-05-10T04:00:00Z,7032,65.1
66.6,69.3,63.3,1898,67.2,2022-05-11T04:00:00Z,7613,65.63
74.25,74.25,63.15,2324,64.2,2022-05-12T04:00:00Z,12111,70.03
67.05,85.5,65.0,4280,75.6,2022-05-13T04:00:00Z,34025,74.17
73.65,75.0,66.6,1737,66.6,2022-05-16T04:00:00Z,5376,71.73
79.5,79.65,71.55,2842,75.0,2022-05-17T04:00:00Z,15035,75.64
80.85,83.25,76.37,2604,78.9,2022-05-18T04:00:00Z,12977,79.94
78.0,82.35,74.25,1650,78.75,2022-05-19T04:00:00Z,8206,78.64
81.0,82.35,76.95,2250,80.55,2022-05-20T04:00:00Z,9949,79.82
81.15,85.5,78.6,1564,81.75,2022-05-23T04:00:00Z,7299,82.28
75.15,81.45,70.14,1252,78.75,2022-05-24T04:00:00Z,4876,77.72
76.5,79.05,73.5,1140,75.6,2022-05-25T04:00:00Z,3279,76.85
78.9,81.9,74.4,1110,76.5,2022-05-26T04:00:00Z,4688,78.55
82.05,82.5,78.37,1180,80.55,2022-05-27T04:00:00Z,4362,80.82
87.6,88.35,78.6,1612,81.0,2022-05-31T04:00:00Z,8102,84.72
90.75,97.5,84.75,3504,87.6,2022-06-01T04:00:00Z,18026,91.14
90.3,92.85,87.46,2139,88.8,2022-06-02T04:00:00Z,6222,90.07
102.15,102.45,89.25,2886,90.0,2022-06-03T04:00:00Z,12540,96.18
